,Games,Wins vs. Easyin 100 games,Wins vs. Mediumin 100 games,Wins vs. Hardin 100 games,Errors,Ends with Double Dealing,Preemtive Sacrifices
AlphaZeroV7,300,95,83,42,0,0,0
AlphaZeroV7_MCTS,300,92,88,54,0,0,0
